Time,Input,Angle
3.509999990463257,-0.05566205084323883,-0.59690260887146
3.5199999809265137,-0.05566205084323883,-0.6754423975944519
3.5299999713897705,-0.05566205084323883,-0.7382742762565613
3.5399999618530273,-0.05566205084323883,-0.8168140649795532
3.549999952316284,-0.05566205084323883,-0.8953539133071899
3.559999942779541,-0.05566205084323883,-0.9581857323646545
3.569999933242798,-0.05566205084323883,-1.0367255210876465
3.5799999237060547,-0.05566205084323883,-1.1152653694152832
3.5899999141693115,-0.05566205084323883,-1.19380521774292
3.5999999046325684,-0.05566205084323883,-1.2723450660705566
3.609999895095825,0.07678601890802383,-1.3508847951889038
3.619999885559082,0.07678601890802383,-1.4137166738510132
3.630000114440918,0.07678601890802383,-1.4765485525131226
3.640000104904175,0.07678601890802383,-1.5236724615097046
3.6500000953674316,0.07678601890802383,-1.5707963705062866
3.6600000858306885,0.07678601890802383,-1.6022123098373413
3.6700000762939453,0.07678601890802383,-1.617920160293579
3.680000066757202,0.07678601890802383,-1.6336281299591064
3.690000057220459,0.07678601890802383,-1.6493360996246338
3.700000047683716,0.07678601890802383,-1.6493360996246338
3.7100000381469727,-0.03150329738855362,-1.6493360996246338
3.7200000286102295,-0.03150329738855362,-1.6493360996246338
3.7300000190734863,-0.03150329738855362,-1.6493360996246338
3.740000009536743,-0.03150329738855362,-1.6493360996246338
3.75,-0.03150329738855362,-1.6493360996246338
3.759999990463257,-0.03150329738855362,-1.6650440692901611
3.7699999809265137,-0.03150329738855362,-1.6650440692901611
3.7799999713897705,-0.03150329738855362,-1.6650440692901611
3.7899999618530273,-0.03150329738855362,-1.6650440692901611
3.799999952316284,-0.03150329738855362,-1.6807520389556885
3.809999942779541,0.04294783994555473,-1.6807520389556885
3.819999933242798,0.04294783994555473,-1.6807520389556885
3.8299999237060547,0.04294783994555473,-1.6807520389556885
3.8399999141693115,0.04294783994555473,-1.6807520389556885
3.8499999046325684,0.04294783994555473,-1.6650440692901611
3.859999895095825,0.04294783994555473,-1.6650440692901611
3.869999885559082,0.04294783994555473,-1.6493360996246338
3.880000114440918,0.04294783994555473,-1.6336281299591064
3.890000104904175,0.04294783994555473,-1.617920160293579
3.9000000953674316,0.04294783994555473,-1.6022123098373413
3.9100000858306885,-0.015042192302644253,-1.586504340171814
3.9200000762939453,-0.015042192302644253,-1.5707963705062866
3.930000066757202,-0.015042192302644253,-1.5550884008407593
3.940000057220459,-0.015042192302644253,-1.539380431175232
3.950000047683716,-0.015042192302644253,-1.5236724615097046
3.9600000381469727,-0.015042192302644253,-1.5079644918441772
3.9700000286102295,-0.015042192302644253,-1.49225652217865
3.9800000190734863,-0.015042192302644253,-1.49225652217865
3.990000009536743,-0.015042192302644253,-1.4765485525131226
4.0,-0.015042192302644253,-1.4608405828475952
4.010000228881836,-0.08272616565227509,-1.4608405828475952
4.019999980926514,-0.08272616565227509,-1.4608405828475952
4.03000020980835,-0.08272616565227509,-1.4608405828475952
4.039999961853027,-0.08272616565227509,-1.4765485525131226
4.050000190734863,-0.08272616565227509,-1.5079644918441772
4.059999942779541,-0.08272616565227509,-1.5236724615097046
4.070000171661377,-0.08272616565227509,-1.5550884008407593
4.079999923706055,-0.08272616565227509,-1.586504340171814
4.090000152587891,-0.08272616565227509,-1.6336281299591064
4.099999904632568,-0.08272616565227509,-1.6807520389556885
