Input,Angle,Speed
-0.10000000149011612,-85.87543487548828,-26.32032585144043
-0.10000000149011612,-86.14247131347656,-26.320484161376953
-0.10000000149011612,-86.40950775146484,-26.321531295776367
-0.10000000149011612,-86.66083526611328,-26.321346282958984
-0.10000000149011612,-86.92787170410156,-26.319936752319336
-0.10000000149011612,-87.19490051269531,-26.32193374633789
-0.10000000149011612,-87.4619369506836,-26.322731018066406
-0.10000000149011612,-87.71326446533203,-26.322341918945312
-0.10000000149011612,-87.98030090332031,-26.320775985717773
-0.10000000149011612,-88.2473373413086,-26.322664260864258
-0.10000000149011612,-88.51437377929688,-26.323400497436523
-0.10000000149011612,-88.78141021728516,-26.323001861572266
-0.10000000149011612,-89.0327377319336,-26.321474075317383
-0.10000000149011612,-89.29977416992188,-26.323450088500977
-0.10000000149011612,-89.56680297851562,-26.324321746826172
-0.10000000149011612,-89.8338394165039,-26.324106216430664
-0.10000000149011612,-90.10087585449219,-26.322813034057617
-0.10000000149011612,-90.35220336914062,-26.322572708129883
-0.10000000149011612,-90.6192398071289,-26.320894241333008
-0.10000000149011612,-90.88627624511719,-26.320276260375977
-0.10000000149011612,-91.15331268310547,-26.32072639465332
-0.10000000149011612,-91.4046401977539,-26.319761276245117
-0.10000000149011612,-91.67167663574219,-26.317386627197266
-0.10000000149011612,-91.93870544433594,-26.318235397338867
-0.10000000149011612,-92.19003295898438,-26.317697525024414
-0.10000000149011612,-92.45706939697266,-26.3157901763916
-0.10000000149011612,-92.72410583496094,-26.314651489257812
-0.10000000149011612,-92.99114227294922,-26.314298629760742
-0.10000000149011612,-93.24246978759766,-26.3126220703125
-0.10000000149011612,-93.50950622558594,-26.311769485473633
-0.10000000149011612,-93.77654266357422,-26.311763763427734
-0.10000000149011612,-94.0435791015625,-26.310503005981445
-0.10000000149011612,-94.29490661621094,-26.308012008666992
-0.10000000149011612,-94.56193542480469,-26.308935165405273
-0.10000000149011612,-94.82897186279297,-26.308679580688477
-0.10000000149011612,-95.09600830078125,-26.30727767944336
-0.10000000149011612,-95.36304473876953,-26.304750442504883
-0.10000000149011612,-95.61437225341797,-26.301111221313477
-0.10000000149011612,-95.88140869140625,-26.300994873046875
-0.10000000149011612,-96.14844512939453,-26.299795150756836
-0.10000000149011612,-96.41548156738281,-26.297536849975586
-0.10000000149011612,-96.66680908203125,-26.294227600097656
-0.10000000149011612,-96.933837890625,-26.292001724243164
-0.10000000149011612,-97.20087432861328,-26.290870666503906
-0.10000000149011612,-97.46791076660156,-26.28871726989746
-0.10000000149011612,-97.71923828125,-26.28768539428711
-0.10000000149011612,-97.98627471923828,-26.285295486450195
-0.10000000149011612,-98.25331115722656,-26.281553268432617
-0.10000000149011612,-98.504638671875,-26.28108787536621
-0.10000000149011612,-98.77167510986328,-26.279294967651367
-0.10000000149011612,-99.03871154785156,-26.27618980407715
-0.10000000149011612,-99.2900390625,-26.276411056518555
-0.10000000149011612,-99.55706787109375,-26.275354385375977
-0.10000000149011612,-99.82410430908203,-26.273048400878906
-0.10000000149011612,-100.09114074707031,-26.272001266479492
-0.10000000149011612,-100.34246826171875,-26.272235870361328
-0.10000000149011612,-100.60950469970703,-26.27128791809082
-0.10000000149011612,-100.87654113769531,-26.2691707611084
-0.10000000149011612,-101.1435775756836,-26.268400192260742
-0.10000000149011612,-101.39490509033203,-26.26899528503418
-0.10000000149011612,-101.66194152832031,-26.268484115600586
-0.10000000149011612,-101.92897033691406,-26.266883850097656
-0.10000000149011612,-102.19600677490234,-26.264202117919922
-0.10000000149011612,-102.44733428955078,-26.265073776245117
-0.10000000149011612,-102.71437072753906,-26.264888763427734
-0.10000000149011612,-102.98140716552734,-26.26366424560547
-0.10000000149011612,-103.24844360351562,-26.261404037475586
-0.10000000149011612,-103.49977111816406,-26.26024055480957
-0.10000000149011612,-103.76680755615234,-26.260175704956055
-0.10000000149011612,-104.03384399414062,-26.26122283935547
-0.10000000149011612,-104.28517150878906,-26.260902404785156
-0.10000000149011612,-104.55220031738281,-26.259225845336914
-0.10000000149011612,-104.8192367553711,-26.260828018188477
-0.10000000149011612,-105.07056427001953,-26.2611026763916
-0.10000000149011612,-105.33760070800781,-26.260066986083984
-0.10000000149011612,-105.6046371459961,-26.262361526489258
-0.10000000149011612,-105.85596466064453,-26.26338768005371
-0.10000000149011612,-106.12300109863281,-26.263166427612305
-0.10000000149011612,-106.3900375366211,-26.261714935302734
-0.10000000149011612,-106.64136505126953,-26.263668060302734
-0.10000000149011612,-106.90840148925781,-26.264421463012695
-0.10000000149011612,-107.17543029785156,-26.263994216918945
-0.10000000149011612,-107.44246673583984,-26.26239585876465
-0.10000000149011612,-107.69379425048828,-26.264257431030273
-0.10000000149011612,-107.96083068847656,-26.26497459411621
-0.10000000149011612,-108.22786712646484,-26.264562606811523
-0.10000000149011612,-108.49490356445312,-26.265155792236328
-0.10000000149011612,-108.7619400024414,-26.264270782470703
-0.10000000149011612,-109.01326751708984,-26.2644100189209
-0.10000000149011612,-109.28030395507812,-26.265583038330078
-0.10000000149011612,-109.54733276367188,-26.269575119018555
-0.10000000149011612,-109.81436920166016,-26.275699615478516
-0.10000000149011612,-110.0656967163086,-26.290063858032227
-0.10000000149011612,-110.33273315429688,-26.311355590820312
-0.10000000149011612,-110.59976959228516,-26.33797836303711
-0.10000000149011612,-110.8510971069336,-26.372678756713867
-0.10000000149011612,-111.11813354492188,-26.415822982788086
-0.10000000149011612,-111.38516998291016,-26.465402603149414
-0.10000000149011612,-111.6364974975586,-26.521310806274414
-0.10000000149011612,-111.90353393554688,-26.58571434020996
-0.10000000149011612,-112.17056274414062,-26.653825759887695
